 ******* Program HYDRUS
 ******* Root uptake with meteorological data                                    
 Date: 474.71.    Time: ***: 0:**
 Units: L = cm   , T = days , M = mmol 

 CosAlf,MaxIt,TolTh,  TolH
 1.000   20   0.001 1.00000

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     T     F     T     T     F     F     F     T     T     F     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1      0.000    -70.561    1    1   0.000    1.000    1.000    1.000
   2    -10.000    -70.561    1    1   0.000    1.000    1.000    1.000
   3    -20.000    -70.561    1    1   0.000    1.000    1.000    1.000
   4    -30.000    -70.561    1    1   0.000    1.000    1.000    1.000
   5    -40.000    -70.561    1    1   0.000    1.000    1.000    1.000
   6    -50.000    -70.561    1    1   0.000    1.000    1.000    1.000
   7    -60.000    -70.561    1    1   0.000    1.000    1.000    1.000
   8    -70.000    -70.561    1    1   0.000    1.000    1.000    1.000
   9    -80.000    -70.561    1    1   0.000    1.000    1.000    1.000
  10    -90.000    -70.561    1    1   0.000    1.000    1.000    1.000
  11   -100.000    -70.561    1    1   0.000    1.000    1.000    1.000
end

 Number of species in the chain :   0


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.095  0.410   0.190E-01   0.131E+01   0.340E+01  0.500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S          Kv
  0.4100  -0.179E+00 -0.7475E+00  0.3183E-03  0.2333E+01  0.3679E+00    0.9999  0.4556E-20
  0.4099  -0.226E+00 -0.6465E+00  0.3420E-03  0.2261E+01  0.3543E+00    0.9998  0.1256E-19
  0.4099  -0.285E+00 -0.5455E+00  0.3674E-03  0.2185E+01  0.3395E+00    0.9997  0.3466E-19
  0.4099  -0.359E+00 -0.4444E+00  0.3947E-03  0.2105E+01  0.3233E+00    0.9997  0.9568E-19
  0.4099  -0.453E+00 -0.3434E+00  0.4240E-03  0.2021E+01  0.3055E+00    0.9995  0.2637E-18
  0.4098  -0.572E+00 -0.2424E+00  0.4553E-03  0.1932E+01  0.2861E+00    0.9994  0.7275E-18
  0.4097  -0.722E+00 -0.1414E+00  0.4887E-03  0.1839E+01  0.2646E+00    0.9991  0.2004E-17
  0.4096  -0.911E+00 -0.4040E-01  0.5244E-03  0.1742E+01  0.2410E+00    0.9988  0.5519E-17
  0.4095  -0.115E+01  0.6061E-01  0.5624E-03  0.1640E+01  0.2149E+00    0.9984  0.1519E-16
  0.4093  -0.145E+01  0.1616E+00  0.6027E-03  0.1535E+01  0.1860E+00    0.9979  0.4172E-16
  0.4091  -0.183E+01  0.2626E+00  0.6452E-03  0.1426E+01  0.1540E+00    0.9971  0.1144E-15
  0.4088  -0.231E+01  0.3636E+00  0.6898E-03  0.1313E+01  0.1183E+00    0.9961  0.3132E-15
  0.4083  -0.292E+01  0.4646E+00  0.7360E-03  0.1198E+01  0.7841E-01    0.9947  0.8544E-15
  0.4078  -0.368E+01  0.5657E+00  0.7834E-03  0.1081E+01  0.3375E-01    0.9929  0.2321E-14
  0.4070  -0.464E+01  0.6667E+00  0.8311E-03  0.9629E+00 -0.1642E-01    0.9904  0.6271E-14
  0.4059  -0.586E+01  0.7677E+00  0.8778E-03  0.8453E+00 -0.7298E-01    0.9871  0.1682E-13
  0.4046  -0.739E+01  0.8687E+00  0.9217E-03  0.7296E+00 -0.1369E+00    0.9827  0.4465E-13
  0.4027  -0.933E+01  0.9697E+00  0.9605E-03  0.6175E+00 -0.2093E+00    0.9769  0.1170E-12
  0.4003  -0.118E+02  0.1071E+01  0.9911E-03  0.5110E+00 -0.2916E+00    0.9694  0.3016E-12
  0.3973  -0.148E+02  0.1172E+01  0.1010E-02  0.4122E+00 -0.3849E+00    0.9596  0.7609E-12
  0.3933  -0.187E+02  0.1273E+01  0.1014E-02  0.3229E+00 -0.4909E+00    0.9470  0.1869E-11
  0.3884  -0.236E+02  0.1374E+01  0.9984E-03  0.2450E+00 -0.6109E+00    0.9314  0.4439E-11
  0.3823  -0.298E+02  0.1475E+01  0.9619E-03  0.1795E+00 -0.7461E+00    0.9121  0.1013E-10
  0.3750  -0.376E+02  0.1576E+01  0.9038E-03  0.1266E+00 -0.8974E+00    0.8889  0.2208E-10
  0.3665  -0.475E+02  0.1677E+01  0.8264E-03  0.8603E-01 -0.1065E+01    0.8618  0.4569E-10
  0.3568  -0.599E+02  0.1778E+01  0.7344E-03  0.5626E-01 -0.1250E+01    0.8311  0.8934E-10
  0.3461  -0.756E+02  0.1879E+01  0.6344E-03  0.3548E-01 -0.1450E+01    0.7970  0.1647E-09
  0.3345  -0.955E+02  0.1980E+01  0.5334E-03  0.2164E-01 -0.1665E+01    0.7604  0.2861E-09
  0.3225  -0.120E+03  0.2081E+01  0.4375E-03  0.1281E-01 -0.1892E+01    0.7221  0.4692E-09
  0.3101  -0.152E+03  0.2182E+01  0.3512E-03  0.7395E-02 -0.2131E+01    0.6829  0.7287E-09
  0.2977  -0.192E+03  0.2283E+01  0.2768E-03  0.4178E-02 -0.2379E+01    0.6435  0.1076E-08
  0.2855  -0.242E+03  0.2384E+01  0.2149E-03  0.2321E-02 -0.2634E+01    0.6047  0.1519E-08
  0.2736  -0.305E+03  0.2485E+01  0.1648E-03  0.1271E-02 -0.2896E+01    0.5669  0.2060E-08
  0.2621  -0.385E+03  0.2586E+01  0.1252E-03  0.6892E-03 -0.3162E+01    0.5305  0.2695E-08
  0.2511  -0.486E+03  0.2687E+01  0.9442E-04  0.3705E-03 -0.3431E+01    0.4957  0.3420E-08
  0.2408  -0.614E+03  0.2788E+01  0.7080E-04  0.1980E-03 -0.3703E+01    0.4627  0.4224E-08
  0.2309  -0.774E+03  0.2889E+01  0.5287E-04  0.1053E-03 -0.3978E+01    0.4316  0.5096E-08
  0.2217  -0.977E+03  0.2990E+01  0.3935E-04  0.5578E-04 -0.4254E+01    0.4023  0.6025E-08
  0.2131  -0.123E+04  0.3091E+01  0.2922E-04  0.2948E-04 -0.4531E+01    0.3748  0.6998E-08
  0.2049  -0.156E+04  0.3192E+01  0.2165E-04  0.1555E-04 -0.4808E+01    0.3490  0.8003E-08
  0.1974  -0.196E+04  0.3293E+01  0.1603E-04  0.8187E-05 -0.5087E+01    0.3250  0.9029E-08
  0.1903  -0.248E+04  0.3394E+01  0.1185E-04  0.4307E-05 -0.5366E+01    0.3026  0.1006E-07
  0.1837  -0.313E+04  0.3495E+01  0.8757E-05  0.2264E-05 -0.5645E+01    0.2816  0.1110E-07
  0.1776  -0.394E+04  0.3596E+01  0.6467E-05  0.1189E-05 -0.5925E+01    0.2621  0.1213E-07
  0.1718  -0.498E+04  0.3697E+01  0.4774E-05  0.6245E-06 -0.6204E+01    0.2439  0.1315E-07
  0.1665  -0.628E+04  0.3798E+01  0.3523E-05  0.3278E-06 -0.6484E+01    0.2270  0.1414E-07
  0.1615  -0.792E+04  0.3899E+01  0.2599E-05  0.1720E-06 -0.6764E+01    0.2112  0.1511E-07
  0.1569  -0.100E+05  0.4000E+01  0.1917E-05  0.9026E-07 -0.7044E+01    0.1966  0.1604E-07
end
