

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    70.00000 -0.827821E+01  0.421924E+01 -0.828049E+01  0.421924E+01 -0.108482E+01   -321.934   -302.978   -374.115      70
    71.00000 -0.821463E+01  0.438596E+01 -0.821705E+01  0.438596E+01 -0.110925E+01   -374.712   -338.756   -369.417      71
    72.00000 -0.815037E+01  0.456495E+01 -0.815310E+01  0.456495E+01 -0.113567E+01   -428.146   -373.290   -363.916      72
    73.00000 -0.811587E+01  0.477283E+01 -0.811932E+01  0.477283E+01 -0.116343E+01   -467.822   -406.500   -359.277      73
    74.00000 -0.806944E+01  0.494465E+01 -0.807199E+01  0.494465E+01 -0.119208E+01   -546.215   -450.539   -355.808      74
    75.00000 -0.802024E+01  0.512457E+01 -0.802299E+01  0.512457E+01 -0.122135E+01   -623.870   -491.046   -354.025      75
    76.00000 -0.801351E+01  0.530319E+01 -0.801622E+01  0.530319E+01 -0.125073E+01   -642.923   -524.526   -353.291      76
    77.00000 -0.801351E+01  0.552491E+01 -0.801730E+01  0.552491E+01 -0.127999E+01   -683.833   -559.245   -353.955      77
    78.00000 -0.115135E+02  0.553425E+01 -0.115173E+02  0.553425E+01 -0.130909E+01   -100.983   -155.112   -354.918      78
    79.00000 -0.124235E+02  0.560057E+01 -0.124273E+02  0.560057E+01 -0.133774E+01   -139.504   -157.232   -356.654      79
    80.00000 -0.123984E+02  0.572955E+01 -0.124025E+02  0.572955E+01 -0.136658E+01   -200.771   -194.305   -352.781      80
    81.00000 -0.123599E+02  0.590421E+01 -0.123644E+02  0.590421E+01 -0.140025E+01   -237.385   -224.774   -333.865      81
    82.00000 -0.127699E+02  0.601543E+01 -0.127744E+02  0.601543E+01 -0.143902E+01   -199.019   -214.500   -310.113      82
    83.00000 -0.150499E+02  0.603745E+01 -0.150544E+02  0.603745E+01 -0.148648E+01   -106.664   -129.190   -292.094      83
    84.00000 -0.150799E+02  0.613594E+01 -0.150844E+02  0.613594E+01 -0.154776E+01   -173.616   -167.201   -270.778      84
    85.00000 -0.150899E+02  0.625907E+01 -0.150944E+02  0.625907E+01 -0.163020E+01   -200.702   -190.426   -240.529      85
    86.00000 -0.150899E+02  0.644326E+01 -0.150948E+02  0.644326E+01 -0.174875E+01   -225.196   -211.819   -222.505      86
    87.00000 -0.150899E+02  0.664160E+01 -0.150949E+02  0.664160E+01 -0.188995E+01   -246.268   -230.523   -214.849      87
    88.00000 -0.150734E+02  0.683547E+01 -0.150784E+02  0.683547E+01 -0.203703E+01   -271.167   -250.029   -212.569      88
