

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    80.00000 -0.123984E+02  0.572955E+01 -0.124023E+02  0.572937E+01 -0.899392E+00   -151.730   -144.324   -301.909      80
    81.00000 -0.123599E+02  0.590420E+01 -0.123643E+02  0.590402E+01 -0.926390E+00   -185.375   -172.046   -284.960      81
    82.00000 -0.127699E+02  0.601543E+01 -0.127742E+02  0.601525E+01 -0.959289E+00   -146.890   -161.364   -260.658      82
    83.00000 -0.150499E+02  0.603745E+01 -0.150542E+02  0.603727E+01 -0.100036E+01    -69.200    -85.116   -239.119      83
    84.00000 -0.150799E+02  0.613594E+01 -0.150842E+02  0.613575E+01 -0.105542E+01   -127.620   -119.937   -215.977      84
    85.00000 -0.150899E+02  0.625907E+01 -0.150942E+02  0.625888E+01 -0.113859E+01   -152.710   -142.427   -183.508      85
    86.00000 -0.150899E+02  0.644326E+01 -0.150946E+02  0.644307E+01 -0.126726E+01   -175.738   -161.821   -165.058      86
    87.00000 -0.150899E+02  0.664160E+01 -0.150947E+02  0.664141E+01 -0.141805E+01   -195.935   -179.600   -158.252      87
    88.00000 -0.150734E+02  0.683547E+01 -0.150782E+02  0.683528E+01 -0.157297E+01   -220.089   -198.271   -156.933      88
    89.00000 -0.150734E+02  0.695438E+01 -0.150763E+02  0.695420E+01 -0.172329E+01   -236.588   -213.837   -159.380      89
    90.00000 -0.151234E+02  0.709094E+01 -0.151263E+02  0.709075E+01 -0.186966E+01   -233.135   -219.504   -162.521      90
    91.00000 -0.151934E+02  0.722795E+01 -0.151963E+02  0.722777E+01 -0.200808E+01   -232.672   -223.649   -166.823      91
    92.00000 -0.152514E+02  0.746043E+01 -0.152543E+02  0.746024E+01 -0.213745E+01   -253.216   -239.325   -171.433      92
    93.00000 -0.153314E+02  0.771777E+01 -0.153343E+02  0.771758E+01 -0.225749E+01   -267.545   -255.562   -176.097      93
    94.00000 -0.154714E+02  0.779137E+01 -0.154743E+02  0.779119E+01 -0.236813E+01   -234.908   -241.280   -180.814      94
    95.00000 -0.154194E+02  0.803729E+01 -0.154234E+02  0.803711E+01 -0.246835E+01   -311.854   -271.842   -185.496      95
    96.00000 -0.153848E+02  0.833153E+01 -0.153891E+02  0.833135E+01 -0.255839E+01   -377.733   -312.134   -190.069      96
    97.00000 -0.155848E+02  0.860294E+01 -0.155891E+02  0.860276E+01 -0.264220E+01   -289.065   -307.873   -195.464      97
    98.00000 -0.155848E+02  0.879333E+01 -0.155886E+02  0.879315E+01 -0.272084E+01   -373.812   -332.995   -200.957      98
    99.00000 -0.155620E+02  0.908218E+01 -0.155667E+02  0.908200E+01 -0.279422E+01   -464.807   -376.603   -206.439      99
   100.00000 -0.155620E+02  0.937698E+01 -0.155667E+02  0.937680E+01 -0.286320E+01   -545.618   -428.553   -211.894     100
   101.00000 -0.155388E+02  0.968275E+01 -0.155438E+02  0.968257E+01 -0.292651E+01   -730.574   -501.743   -217.333     101
   102.00000 -0.155031E+02  0.999229E+01 -0.155083E+02  0.999211E+01 -0.298531E+01  -1140.480   -613.188   -222.769     102
   103.00000 -0.154804E+02  0.103333E+02 -0.154859E+02  0.103323E+02 -0.303958E+01  -1843.928   -772.187   -228.217     103
   104.00000 -0.154503E+02  0.106746E+02 -0.154478E+02  0.106419E+02 -0.308930E+01  -7778.788  -1175.854   -233.696     104
   105.00000 -0.154298E+02  0.110265E+02 -0.154271E+02  0.109167E+02 -0.313438E+01 -27611.574  -1992.775   -239.270     105
   106.00000 -0.154199E+02  0.113595E+02 -0.154172E+02  0.111436E+02 -0.317590E+01 -43676.418  -2800.084   -245.798     106
   107.00000 -0.154141E+02  0.117185E+02 -0.154115E+02  0.113530E+02 -0.321513E+01 -52244.949  -3430.476   -252.615     107
   108.00000 -0.154141E+02  0.118771E+02 -0.154115E+02  0.114472E+02 -0.325215E+01 -29860.402  -3454.020   -259.154     108
   109.00000 -0.154106E+02  0.122035E+02 -0.154080E+02  0.116161E+02 -0.328704E+01 -37838.230  -3736.182   -265.480     109
   110.00000 -0.154106E+02  0.125526E+02 -0.154080E+02  0.117795E+02 -0.331985E+01 -26794.508  -3816.685   -271.621     110
   111.00000 -0.153979E+02  0.128871E+02 -0.153992E+02  0.119235E+02 -0.335065E+01-100000.000  -5436.312   -277.593     111
   112.00000 -0.153685E+02  0.132232E+02 -0.153962E+02  0.120570E+02 -0.337949E+01-100000.000  -5744.406   -283.419     112
   113.00000 -0.153639E+02  0.135900E+02 -0.153938E+02  0.121892E+02 -0.340639E+01-100000.000  -6007.940   -289.113     113
   114.00000 -0.153639E+02  0.137123E+02 -0.153938E+02  0.122347E+02 -0.343140E+01 -62076.344  -5590.573   -294.750     114
   115.00000 -0.155439E+02  0.139904E+02 -0.155739E+02  0.123598E+02 -0.345540E+01   -923.185  -3489.191   -300.404     115
   116.00000 -0.155236E+02  0.143451E+02 -0.155526E+02  0.125328E+02 -0.347734E+01  -5682.445  -3877.442   -306.770     116
   117.00000 -0.155131E+02  0.147223E+02 -0.155411E+02  0.126680E+02 -0.349793E+01 -14013.237  -4567.993   -313.840     117
   118.00000 -0.154861E+02  0.151226E+02 -0.155233E+02  0.127777E+02 -0.351754E+01-100000.000  -6511.221   -320.380     118
   119.00000 -0.155161E+02  0.154692E+02 -0.155539E+02  0.128708E+02 -0.353646E+01  -3730.789  -4776.722   -326.679     119
   120.00000 -0.155161E+02  0.157877E+02 -0.155528E+02  0.129541E+02 -0.355447E+01  -7016.012  -4887.433   -332.709     120
   121.00000 -0.155161E+02  0.160698E+02 -0.155523E+02  0.130227E+02 -0.357159E+01  -7806.523  -4947.939   -338.521     121
   122.00000 -0.155161E+02  0.163928E+02 -0.155522E+02  0.130992E+02 -0.358796E+01  -7966.638  -5002.268   -344.176     122
   123.00000 -0.155161E+02  0.166628E+02 -0.155522E+02  0.131583E+02 -0.360340E+01  -8008.541  -5085.202   -349.634     123
   124.00000 -0.182861E+02  0.168001E+02 -0.183222E+02  0.132606E+02 -0.361847E+01    -94.681   -625.057   -355.043     124
   125.00000 -0.183561E+02  0.170633E+02 -0.183922E+02  0.135239E+02 -0.363279E+01   -257.624   -376.870   -360.313     125
